  ,name                     ,profile_message                                                               ,url
0 ,E-SportsTeamCrazyNova【公式】,E-Sports Team CrazyNova 公式アカウント｜Owner→@CzN_May｜大会結果やメンバーの近況などを発信致します。         ,https://twitter.com/E_CrazyNova/
1 ,Ｍerry                    ,脳内サイケデリック                                                                     ,https://twitter.com/pupipu555/
2 ,ふじか                      ,縁は異なもの妙なもの。 どうぞよろしくご贔屓に。仕事のツイート多め。                                            ,https://twitter.com/bananan_hiro/
3 ,あい                       ,★                                                                             ,https://twitter.com/Elijah85919974/
4 ,葛西歩美                     ,                                                                              ,https://twitter.com/Monyosamurai/
5 ,なおProtectedTweets        ,#Hawks #上林誠知 #野球                                                              ,https://twitter.com/hawks5115/
6 ,♡ProtectedTweets         ,                                                                              ,https://twitter.com/aikn_burn/
7 ,HIKARUProtectedTweets    ,三代目☆*:臣GENE☆*:涼太E-Girls晴美☆*:夏恋                                                ,https://twitter.com/xx__0703/
8 ,Meg                      ,                                                                              ,https://twitter.com/AyumiOguri/
9 ,(˙-˙)ProtectedTweets     ,                                                                              ,https://twitter.com/itati29114/
10,ビーグルおばさん                 ,ビーグル犬になりたい人間                                                                  ,https://twitter.com/beagleyama/
11,dk                       ,                                                                              ,https://twitter.com/dk91306925/
12,shoutanProtectedTweets   ,韓国が好きな高3男子です！ 好きな球団は巨人です！(ファン歴8年) 好きな選手は、坂本 阿部 岡本 小林 長野 が好きです！ 好きな女優さんは志田未来さん…,https://twitter.com/Mame0920Shouta/
13,よしもとくにひろ                 ,よろしくお願いします。                                                                   ,https://twitter.com/kunihiro0823/
14,龍生                       ,板二→TSM2-6                                                                     ,https://twitter.com/ryusei1019conan/
15,べあ                       ,                                                                              ,https://twitter.com/KU02kuma/
16,KatsuyaDAIKAI            ,                                                                              ,https://twitter.com/KDAIKAI/
17,砂希ProtectedTweets        ,姉と猫をこよなく愛す絶賛現実逃避社会人。                                                          ,https://twitter.com/sandohope/
